"ZIP","d_spe_m","d_Int.Fam_m","d_nur.Ass_m","d_spe_miles","d_Int.Fam_miles","d_nur.Ass_miles"
"90001",3015.24770621728,354.640531955591,288.864078047799,1.87359271888928,0.220363957868189,0.179492262696384
"90002",3400.80158459587,911.09048270834,911.09048270834,2.11316538742334,0.566126786576075,0.566126786576075
"90003",780.228948928263,780.228948928263,1171.39382309351,0.484812997208957,0.484812997208957,0.727872185550292
"90004",2194.27512723606,331.466703530799,921.115483785971,1.36346274077327,0.205964372681223,0.5723560489306
"90005",987.631257584832,272.310984100641,272.310984100641,0.613687137326377,0.169206621410417,0.169206621410417
"90006",1598.91629839129,374.301669783472,374.301669783472,0.993522996005374,0.232580852885948,0.232580852885948
"90007",2572.10248712788,657.819707665143,805.206639562843,1.59823436137042,0.408751231974066,0.500333453193759
"90008",5261.74961838377,357.803071746898,357.803071746898,3.2695077599412,0.222329073873077,0.222329073873077
"90010",778.093166098968,344.023837093111,210.344151037429,0.483485879987428,0.213767033127314,0.130702120768407
"90011",3039.41658569242,489.039147506887,489.039147506887,1.88861060167051,0.303875593415243,0.303875593415243
"90012",508.803634461533,382.125181228839,697.965922607148,0.316156706762731,0.237442169602967,0.433696995418711
"90013",1992.06872042268,359.021678587412,190.804552755382,1.23781719240352,0.223086282940467,0.118560747110854
"90014",1705.61161144882,529.457097098692,529.457097098692,1.05982055466764,0.328990205362877,0.328990205362877
"90015",675.146644438428,675.146644438428,677.532204484023,0.41951771809464,0.41951771809464,0.421000040068614
"90016",2713.36716304208,1240.44755174601,1240.44755174601,1.68601237963518,0.770780289898972,0.770780289898972
"90017",30.9304448813214,30.9304448813214,30.9304448813214,0.0192193351817027,0.0192193351817027,0.0192193351817027
"90018",3690.8081556462,1972.99137543762,1972.99137543762,2.2933675641233,1.22596305034214,1.22596305034214
"90019",2024.80978013577,742.248167825137,1836.662896384,1.25816159427826,0.46121277531481,1.14125225022928
"90020",1134.04178702733,385.486940242769,396.856396456104,0.704662648680409,0.23953107500141,0.24659574512291
"90021",2932.14459550728,1373.27204395262,1373.27204395262,1.8219547115633,0.853313808115516,0.853313808115516
"90022",2327.55596827777,177.417648691053,177.417648691053,1.44627982171435,0.110242489897133,0.110242489897133
"90023",3827.95814056017,264.661286159433,264.661286159433,2.37858882558078,0.164453307666145,0.164453307666145
"90024",680.263185094484,523.669910152721,523.669910152721,0.422696996964273,0.325394205172755,0.325394205172755
"90025",2506.86653328999,1286.64178663931,1094.60105419399,1.55769851820621,0.799484128052067,0.680155252584283
"90026",1879.30850742496,156.504618104344,156.504618104344,1.16775107026791,0.0972477028498291,0.0972477028498291
"90027",631.649675914061,631.649675914061,562.527498696796,0.392489887726683,0.392489887726683,0.349539251305999
"90028",663.89665603033,548.33115932856,194.505455992974,0.412527282010221,0.340718033062349,0.120860387483673
"90029",362.912713919888,158.265201272001,362.912713919888,0.225504066213409,0.0983416812308157,0.225504066213409
"90031",2062.02127713606,608.693764457494,758.425793453859,1.28128380400416,0.378225710202626,0.471265110824226
"90032",3928.72617653484,330.2031870613,641.091663467125,2.44120333586119,0.205179257994768,0.398356881371944
"90033",977.956652143344,211.597055845232,559.192353144102,0.607675601267193,0.131480641657594,0.347466882786796
"90034",2320.19267755509,819.606134672859,819.606134672859,1.44170447360725,0.509280906876645,0.509280906876645
"90035",1701.43782345004,199.200912456838,137.841217474913,1.05722707659664,0.123778016116444,0.0856507745255281
"90036",1843.33473731857,1675.60200859927,1614.89484666768,1.14539795028929,1.04117340561924,1.00345163027557
"90037",2453.81357477874,416.666809862211,416.666809862211,1.52473285618871,0.258905395915227,0.258905395915227
"90038",891.801323781762,889.315419019997,929.400234585201,0.554141029106194,0.552596355661325,0.577503967207179
"90039",2273.4310681971,2003.68182613569,2003.68182613569,1.41264808443032,1.24503325968142,1.24503325968142
"90040",5836.74407035274,412.025234415199,412.025234415199,3.62679363611961,0.256021247477351,0.256021247477351
"90041",3193.66269449394,888.909332588717,888.909332588717,1.98445492841409,0.552344024624204,0.552344024624204
"90042",4964.87468532273,482.9473723536,482.9473723536,3.08503777034233,0.30009033041719,0.30009033041719
"90043",3015.18040871995,1169.00665998507,2662.28571479639,1.8735509020592,0.72638886747677,1.65427176034672
"90044",1614.06162215974,1016.54710116933,1072.17986151621,1.00293388728283,0.631654654187016,0.666223334731138
"90045",993.493243291484,777.724982910955,777.724982910955,0.617329615427122,0.483257100992304,0.483257100992304
"90046",3641.95003163075,850.524731905108,2861.13090599667,2.26300845789625,0.52849288025222,1.77782874097249
"90047",3382.71050879749,536.165279210406,307.847992650292,2.10192408614555,0.333158486839578,0.191288349665262
"90048",491.726400582361,359.324363538893,359.324363538893,0.305545379212821,0.223274363117112,0.223274363117112
"90049",3023.72922916057,1339.78139931583,2173.36485986395,1.87886290601151,0.832503634605385,1.35046967071219
"90056",2281.2846097024,673.396521077635,505.280923499855,1.41752806100786,0.418430239152469,0.313967790212047
"90057",648.062184868023,392.706741308952,423.702898982402,0.402688173330696,0.244017262547971,0.263277429867152
"90058",2382.46886257259,1109.05940472576,1109.05940472576,1.48040119711968,0.689139277421649,0.689139277421649
"90059",842.067384493513,699.878692389081,842.067384493513,0.523237715146279,0.434885538412692,0.523237715146279
"90061",3322.3251340554,2691.83130869702,859.14988927206,2.06440226058844,1.6726305868847,0.533852317889359
"90062",4414.77679659171,53.543256595964,1644.11424151637,2.74322193979626,0.033270319880177,1.02160776561595
"90063",3047.22366049523,430.020131795585,430.020131795585,1.89346170510597,0.267202786108333,0.267202786108333
