"","ZIP","nearest_distance_m","nearest_distance_miles","nearest_SUD_m","nearest_SUD_miles"
"1","90001",380.586992643877,0.236485793369148,701.799416880033,0.436077940378212
"2","90002",316.636758123009,0.196748959901059,627.440251013057,0.389873296829675
"3","90003",545.151250944777,0.33874128274923,510.740994591617,0.317359740733875
"4","90004",1234.88915398273,0.767324545891203,399.054469005309,0.247960951173465
"5","90005",229.024654349596,0.142309322524952,563.36970231685,0.350061703599013
"6","90006",241.455336567181,0.150033390354816,1064.01501526125,0.661148278591307
"7","90007",1151.52601839538,0.71552509494265,428.870447512225,0.266487741286031
"8","90008",299.824451356619,0.186302276801367,298.89848187295,0.185726906039324
"9","90010",237.610409135957,0.14764426321281,418.695810346285,0.260165514859648
"10","90011",429.143011551313,0.266657104727959,678.12922774179,0.421369966732899
"11","90012",392.255675540204,0.243736376772277,1556.86712357793,0.967392380732726
"12","90013",149.217819796332,0.0927196545899025,312.775593422254,0.194349743387526
"13","90014",445.757969703217,0.276981161083782,755.525608135462,0.469461847892969
"14","90015",611.227587730811,0.379799214916643,1461.0119976623,0.907830766860474
"15","90016",914.954000354268,0.56852605804245,1628.12823268707,1.01167198106003
"16","90017",77.8946614394054,0.0484014986475268,1169.93211559366,0.726962113503176
"17","90018",498.106910349237,0.30950928474536,2024.68041392558,1.25807808270052
"18","90019",929.792305180205,0.577746153202923,218.704666366002,0.135896779287711
"19","90020",321.048219313686,0.199490114800618,156.094703812986,0.0969927522102086
"20","90021",779.622925495289,0.484435226710566,1042.71660124123,0.647914057678924
"21","90022",146.442190777832,0.0909949586774683,897.260536632375,0.557531849394769
"22","90023",210.098539859364,0.130549180199736,826.122490371954,0.513328716776496
"23","90024",2886.95603041338,1.79387131055472,610.773856384329,0.379517279328925
"24","90025",1124.03379827791,0.698442221351005,508.058845616271,0.315693130627306
"25","90026",1238.23955109725,0.76940638614072,1042.83262720888,0.647986152872771
"26","90027",504.771602324629,0.313650532344004,1236.82217774687,0.768525671172149
"27","90028",90.1641679519975,0.0560254165374199,454.200741965291,0.282227256550054
"28","90029",283.344944146443,0.176062385758696,403.147199940639,0.250504056274257
"29","90031",616.216488365405,0.382899174051915,1601.28103307252,0.994989904627301
"30","90032",534.56686510766,0.33216445030252,204.593667010239,0.12712861079436
"31","90033",439.569382370105,0.27313575119434,919.404457068347,0.571291443636878
"32","90034",768.628592191545,0.477603664717764,603.442519298975,0.374961797663504
"33","90035",1634.69372010869,1.01575158580682,74.4556124400814,0.0462645726706542
"34","90036",1452.80326729179,0.902730098283394,1044.05046457869,0.6487428819312
"35","90037",706.020831811446,0.438701006007073,1345.10053861948,0.835806725361064
"36","90038",1175.66569449744,0.730524794262408,1171.89508683376,0.728181847282966
"37","90039",1524.16198519693,0.947070349904637,1754.87070621451,1.09042610294288
"38","90040",396.166033293369,0.246166160431436,1403.33853055954,0.871994135846367
"39","90041",725.740747690869,0.45095439364789,1214.68035661001,0.75476738137403
"40","90042",372.376992989881,0.231384336095876,2835.41238859288,1.76184357638446
"41","90043",961.510574682916,0.597454972139528,854.176936663218,0.530760941516058
"42","90044",1072.83094447498,0.666626243037524,825.302968958448,0.512819489778722
"43","90045",716.077509625934,0.444949935890608,1148.59947456197,0.713706624911748
"44","90046",759.80455371119,0.472120661406878,988.37845130233,0.614149896667419
"45","90047",1377.76714276357,0.856104812124422,1174.04331590179,0.729516694940169
"46","90048",325.543331432289,0.202283247976995,995.796851703143,0.618759476968965
"47","90049",3874.78864878042,2.40768204236038,480.291741070477,0.298439451770707
"48","90056",1637.66820633971,1.01759984586248,1954.32869867664,1.21436355352034
"49","90057",174.034747901745,0.108140178794431,176.686104592135,0.109787655462185
"50","90058",900.569686599809,0.559588059855325,1620.88210911597,1.00716944861755
"51","90059",579.20898285022,0.359903776228215,1673.34055110482,1.03976561325908
"52","90061",745.25455252147,0.463079709820567,579.112256576982,0.359843673308492
"53","90062",1168.8648284063,0.726298931991108,2247.61676889659,1.3966043113819
"54","90063",1293.9134581674,0.804000548153412,759.378907922893,0.471856177375932
"55","90064",1419.49300410683,0.882032060334413,676.850327493422,0.420575294960818
"56","90065",1168.15707369784,0.725859153604105,3744.08367489522,2.32646573690598
"57","90066",1599.24251592227,0.993723228795254,333.530742560497,0.207246395152619
"58","90067",3467.40273614334,2.15454417212438,338.517093625033,0.210344770058504
"59","90068",1785.37707480738,1.10938188156627,314.266639367027,0.19527623638391
"60","90069",331.436186693954,0.205944898476618,400.130237820254,0.248629402924579
"61","90071",NA,NA,NA,NA
"62","90073",NA,NA,NA,NA
"63","90077",5462.37552502031,3.3941627924299,1885.26369302872,1.17144854861901
"64","90089",620.024816505155,0.385265559448542,446.690459532023,0.277560583400456
"65","90094",2276.29370706946,1.41442333464409,635.804771646425,0.395070768988125
"66","90095",NA,NA,NA,NA
"67","90201",985.35104842133,0.612268755729869,2027.86809138443,1.26005881364359
"68","90210",2459.27677903039,1.52812374422771,1151.58902645345,0.715564246334808
"69","90211",636.449506113223,0.395471388412436,327.098950823873,0.203249865053011
"70","90212",2253.3846264968,1.40018829193559,148.856423586357,0.0924950933960405
"71","90220",608.269552051116,0.377961176759671,789.234271918077,0.4904074404963
"72","90221",405.902602858397,0.252216184270359,436.107295693961,0.270984510268756
"73","90222",246.332336757364,0.153063817777532,1454.83614245617,0.903993268347952
"74","90230",1268.7290272051,0.788351668260547,913.901979887983,0.567872362831056
"75","90232",455.742066503214,0.283184991215809,632.066705663321,0.392748042471542
"76","90240",2422.5632749712,1.50531103043923,874.209122438448,0.543208364674332
